Ano 	Escola campeã 	N.º 	Enredo 	Carnavalesco(a) 	Escola vice-campeã 
1981	Imperatriz 	2	O Teu Cabelo Não Nega 	Arlindo Rodrigues 	Beija-Flor 
1982	Império Serrano 	9	Bum Bum Paticumbum Prugurundum 	Rosa Magalhães; Lícia Lacerda 	Portela 
1983	Beija-Flor 	5	A Grande Constelação das Estrelas Negras 	Joãosinho Trinta 	Portela 
1984	Portela	21	Contos de Areia 	Edmundo Braga; Paulino Espírito Santo 	Império Serrano
1984	Mangueira	13	Yes, Nós Temos Braguinha 	Max Lopes 	Mocidade
1984	Mangueira	14	Portela	Max Lopes 	Portela 
1985	Mocidade 	2	Ziriguidum 2001 - Carnaval nas Estrelas 	Fernando Pinto 	Beija-Flor 
1986	Mangueira 	15	Caymmi Mostra ao Mundo o que a Bahia e a Mangueira Têm 	Júlio Mattos 	Beija-Flor 
1987	Mangueira 	16	No Reino das Palavras, Carlos Drummond de Andrade 	Júlio Mattos 	Mocidade 
1988	Vila Isabel 	1	Kizomba, Festa da Raça 	Paulo César Cardoso; Milton Siqueira; Ilvamar Magalhães 	Mangueira 
1989	Imperatriz 	3	Liberdade, Liberdade, Abre as Asas Sobre Nós! 	Max Lopes 	Beija-Flor 
1990	Mocidade 	3	Vira, Virou, a Mocidade Chegou 	Renato Lage; Lilian Rabello 	Beija-Flor 
1991	Mocidade 	4	Chuê, Chuá, as Águas Vão Rolar 	Renato Lage; Lilian Rabello 	Salgueiro 
1992	Estácio de Sá 	1	Paulicéia Desvairada - 70 Anos de Modernismo 	Mário Monteiro; Chico Spinoza 	Mocidade 
1993	Salgueiro 	8	Peguei Um Ita no Norte 	Mario Borriello 	Imperatriz 
1994	Imperatriz 	4	Catarina de Médicis na Corte dos Tupinambôs e dos Tabajéres 	Rosa Magalhães 	Salgueiro 
1995	Imperatriz 	5	Mais Vale Um Jegue que me Carregue, que Um Camelo que Me Derrube, Lá no Ceará 	Rosa Magalhães 	Portela 
1996	Mocidade 	5	Criador e Criatura 	Renato Lage 	Imperatriz 
1997	Viradouro 	1	Trevas! Luz! A Explosão do Universo 	Joãosinho Trinta 	Mocidade 
1998	Beija-Flor 	6	Pará, O Mundo Místico dos Caruanas, nas Águas do Patu-anu 	Cid Carvalho; Amarildo de Mello; Anderson Müller; Fran Sérgio; Ubiratan Silva; Nelson Ricardo; Paulo Führo; Victor Santos 	*
1998	Mangueira 	17	Chico Buarque da Mangueira 	Alexandre Louzada	*
1999	Imperatriz 	6	Brasil, Mostra a Sua Cara em... Theatrum Rerum Naturalium Brasiliae 	Rosa Magalhães 	Beija-Flor 
2000	Imperatriz 	7	Quem Descobriu o Brasil Foi Seu Cabral, no Dia 22 de Abril, Dois Meses Depois do Carnaval 	Rosa Magalhães 	Beija-Flor 
2001	Imperatriz 	8	Cana-caiana, Cana Roxa, Cana Fita, Cana Preta, Amarela, Pernambuco... Quero Vê Descê o Suco na Pancada do Ganzá 	Rosa Magalhães 	Beija-Flor 
2002	Mangueira 	18	Brazil com Z é pra Cabra da Peste, Brasil com S é Nação do Nordeste 	Max Lopes 	Beija-Flor 
2003	Beija-Flor 	7	O Povo Conta a Sua História: Saco Vazio Não Para em Pé - A Mão que Faz a Guerra, Faz a Paz	Laíla; Cid Carvalho; Fran Sérgio; Ubiratan Silva; Shangai 	Mangueira 
2004	Beija-Flor 	8	Manôa, Manaus, Amazônia, Terra Santa: Alimenta o Corpo, Equilibra a Alma e Transmite a Paz 	Laíla; Cid Carvalho; Fran Sérgio; Ubiratan Silva; Shangai 	Unidos da Tijuca 
2005	Beija-Flor 	9	O Vento Corta as Terras dos Pampas. Em Nome do Pai, do Filho e do Espírito Guarani. Sete Povos na Fé e na Dor... Sete Missões de Amor 	Laíla; Cid Carvalho; Fran Sérgio; Ubiratan Silva; Shangai 	Unidos da Tijuca 
2006	Vila Isabel 	2	Soy Loco por Ti, América - A Vila Canta a Latinidade 	Alexandre Louzada 	Grande Rio 
2007	Beija-Flor 	10	Áfricas - Do Berço Real à Corte Brasiliana 	Laíla; Alexandre Louzada; Fran Sérgio; Ubiratan Silva; Shangai 	Grande Rio 
2008	Beija-Flor 	11	Macapaba: Equinócio Solar, Viagens Fantásticas ao Meio do Mundo 	Laíla; Alexandre Louzada; Fran Sérgio; Ubiratan Silva; Shangai 	Salgueiro 
2009	Salgueiro 	9	Tambor 	Renato Lage 	Beija-Flor 
2010	Unidos da Tijuca 	2	É Segredo! 	Paulo Barros 	Grande Rio 
2011	Beija-Flor 	12	A Simplicidade de um Rei 	Laíla; Alexandre Louzada; Fran Sérgio; Ubiratan Silva; Victor Santos 	Unidos da Tijuca 
2012	Unidos da Tijuca 	3	O Dia em que Toda a Realeza Desembarcou na Avenida para Coroar o Rei Luiz do Sertão 	Paulo Barros 	Salgueiro 
2013	Vila Isabel 	3	A Vila Canta o Brasil, Celeiro do Mundo - Água no Feijão que Chegou Mais Um	Rosa Magalhães 	Beija-Flor 
2014	Unidos da Tijuca 	4	Acelera, Tijuca! 	Paulo Barros 	Salgueiro 
2015	Beija-Flor 	13	Um Griô Conta a História: Um Olhar sobre a África e o Despontar da Guiné Equatorial. Caminhemos sobre a Trilha de Nossa Felicidade 	Laíla; Fran Sérgio; Ubiratan Silva; Victor Santos; André Cezari; Bianca Behrends; Cláudio Russo 	Salgueiro 
2016	Mangueira 	19	Maria Bethânia: A Menina dos Olhos de Oyá 	Leandro Vieira 	Unidos da Tijuca 
2017	Portela 	22	Quem Nunca Sentiu o Corpo Arrepiar ao Ver Esse Rio Passar? 	Paulo Barros 	*
2017	Mocidade 	6	As Mil e Uma Noites de Uma 'Mocidade' pra Lá de Marrakesh 	Alexandre Louzada	*
2018	Beija-Flor 	14	Monstro É Aquele que Não Sabe Amar. Os Filhos Abandonados da Pátria que os Pariu 	Laíla; Cid Carvalho; Victor Santos; Bianca Behrends; Rodrigo Pacheco; Léo Mídia 	Paraíso do Tuiuti 
2019	Mangueira 	20	História pra Ninar Gente Grande 	Leandro Vieira 	Viradouro 
2020	Viradouro 	2	Viradouro de Alma Lavada 	Marcus Ferreira; Tarcisio Zanon 	Grande Rio 
2022	Grande Rio 	1	Fala, Majeté! Sete Chaves de Exu 	Gabriel Haddad; Leonardo Bora 	Beija-Flor 
2023	Imperatriz 	9	O Aperreio do Cabra Que o Excomungado Tratou com Má-querença e o Santíssimo Não Deu Guarida 	Leandro Vieira 	Viradouro 
2024	Viradouro 	3	Arroboboi, Dangbé 	Tarcisio Zanon 	Imperatriz 
2025	Beija-Flor 	15	Laíla de Todos os Santos, Laíla de Todos os Sambas 	João Vitor Araújo 	Grande Rio
